icd10_code	icd10_phe
H0189	Other specified inflammation of unspecified eye, unspecified eyelid
H02211	Cicatricial lagophthalmos right upper eyelid
H53469	Homonymous bilateral field defects, unspecified side
F13	Sedative, hypnotic, or anxiolytic related disorders
C090	Malignant neoplasm of tonsillar fossa
G545	Neuralgic amyotrophy
M25421	Effusion, right elbow
M6255	Muscle wasting and atrophy, not elsewhere classified, thigh
L02411	Cutaneous abscess of right axilla
H7320	Unspecified myringitis, unspecified ear
S3743	Laceration of ovary
T415X5	Adverse effect of therapeutic gases
M3391	Dermatopolymyositis, unspecified with respiratory involvement
S8254	Nondisplaced fracture of medial malleolus of right tibia
W591	Contact with nonvenomous snakes
G71	Primary disorders of muscles
P2842	Obstructive apnea of newborn
T20411	Corrosion of unspecified degree of right ear [any part, except ear drum]
M0286	Other reactive arthropathies, knee
R92323	Mammographic fibroglandular density, bilateral breasts
M24429	Recurrent dislocation, unspecified elbow
G563	Lesion of radial nerve
S7630	Unspecified injury of muscle, fascia and tendon of the posterior muscle group at thigh level
O353	Maternal care for (suspected) damage to fetus from viral disease in mother
L98A329	Non-pressure chronic ulcer of left hand with unspecified severity
M8656	Other chronic hematogenous osteomyelitis, tibia and fibula
S36231	Laceration of body of pancreas, unspecified degree
P011	Newborn affected by premature rupture of membranes
T4490	Poisoning by, adverse effect of and underdosing of unspecified drugs primarily affecting the autonomic nervous system
M87231	Osteonecrosis due to previous trauma of right radius
F19288	Other psychoactive substance dependence with other psychoactive substance-induced disorder
K7402	Hepatic fibrosis, advanced fibrosis
M67339	Transient synovitis, unspecified wrist
S6035	Superficial foreign body of thumb
S61211	Laceration without foreign body of left index finger without damage to nail
S65597	Other specified injury of blood vessel of left little finger
G900	Idiopathic peripheral autonomic neuropathy
L139	Bullous disorder, unspecified
M62219	Nontraumatic ischemic infarction of muscle, unspecified shoulder
H50412	Cyclotropia, left eye
T24332	Burn of third degree of left lower leg
E7033	Albinism with hematologic abnormality
M08832	Other juvenile arthritis, left wrist
T384X2	Poisoning by oral contraceptives, intentional self-harm
T43625	Adverse effect of amphetamines
H44819	Hemophthalmos, unspecified eye
M01X11	Direct infection of right shoulder in infectious and parasitic diseases classified elsewhere
H3504	Retinal micro-aneurysms, unspecified
M13149	Monoarthritis, not elsewhere classified, unspecified hand
T43205	Adverse effect of unspecified antidepressants
T3271	Corrosions involving 70-79% of body surface with 10-19% third degree corrosion
V9380	Other injury due to other accident on board merchant ship
T703	Caisson disease [decompression sickness]
C8891	Malignant immunoproliferative disease, unspecified, in remission
F13231	Sedative, hypnotic or anxiolytic dependence with withdrawal delirium
L98432	Non-pressure chronic ulcer of abdomen with fat layer exposed
L97826	Non-pressure chronic ulcer of other part of left lower leg with bone involvement without evidence of necrosis
M02172	Postdysenteric arthropathy, left ankle and foot
Y92094	Garage of other non-institutional residence as the place of occurrence of the external cause
M62461	Contracture of muscle, right lower leg
T23521	Corrosion of first degree of single right finger (nail) except thumb
Y0801	Assault by strike by hockey stick
Y36220	War operations involving explosion of guided missile, military personnel
T81328	Disruption or dehiscence of closure of other specified internal operation (surgical) wound
F8081	Childhood onset fluency disorder
E0936	Drug or chemical induced diabetes mellitus with diabetic cataract
M1236	Palindromic rheumatism, knee
S4227	Torus fracture of upper end of humerus
S4321	Anterior subluxation and dislocation of sternoclavicular joint
T8754	Necrosis of amputation stump, left lower extremity
W26	Contact with other sharp objects
C9330	Juvenile myelomonocytic leukemia, not having achieved remission
A0229	Salmonella with other localized infection
V634	Person boarding or alighting a heavy transport vehicle injured in collision with car, pick-up truck or van
D3A020	Benign carcinoid tumor of the appendix
I498	Other specified cardiac arrhythmias
I3131	Malignant pericardial effusion in diseases classified elsewhere
W44H	Other sharp object entering into or through a natural orifice
A969	Arenaviral hemorrhagic fever, unspecified
S3792	Contusion of unspecified urinary and pelvic organ
Q041	Arhinencephaly
C4721	Malignant neoplasm of peripheral nerves of right lower limb, including hip
T565X4	Toxic effect of zinc and its compounds, undetermined
V9037	Drowning and submersion due to falling or jumping from crushed water-skis
D57214	Sickle-cell/Hb-C disease with dactylitis
V948	Other water transport accident
L97115	Non-pressure chronic ulcer of right thigh with muscle involvement without evidence of necrosis
Z1889	Other specified retained foreign body fragments
B0221	Postherpetic geniculate ganglionitis
M4184	Other forms of scoliosis, thoracic region
S32483	Displaced dome fracture of unspecified acetabulum
S66412	Strain of intrinsic muscle, fascia and tendon of left thumb at wrist and hand level
I87329	Chronic venous hypertension (idiopathic) with inflammation of unspecified lower extremity
K9409	Other complications of colostomy
S852	Injury of peroneal artery
F919	Conduct disorder, unspecified
L493	Exfoliation due to erythematous condition involving 30-39 percent of body surface
M8647	Chronic osteomyelitis with draining sinus, ankle and foot
S56401	Unspecified injury of extensor muscle, fascia and tendon of right index finger at forearm level
I801	Phlebitis and thrombophlebitis of femoral vein
Q282	Arteriovenous malformation of cerebral vessels
E341	Other hypersecretion of intestinal hormones
T385X2	Poisoning by other estrogens and progestogens, intentional self-harm
G978	Other intraoperative and postprocedural complications and disorders of nervous system
M61559	Other ossification of muscle, unspecified thigh
M8708	Idiopathic aseptic necrosis of bone, other site
O23593	Infection of other part of genital tract in pregnancy, third trimester
H47532	Disorders of visual pathways in (due to) vascular disorders, left side
T8450	Infection and inflammatory reaction due to unspecified internal joint prosthesis
M2570	Osteophyte, unspecified joint
S62126	Nondisplaced fracture of lunate [semilunar], unspecified wrist
S7242	Fracture of lateral condyle of femur
V701	Passenger on bus injured in collision with pedestrian or animal in nontraffic accident
Z128	Encounter for screening for malignant neoplasm of other sites
P354	Congenital Zika virus disease
R799	Abnormal finding of blood chemistry, unspecified
S32392	Other fracture of left ilium
S39091	Other injury of muscle, fascia and tendon of abdomen
M11071	Hydroxyapatite deposition disease, right ankle and foot
Z41	Encounter for procedures for purposes other than remedying health state
F03B18	Unspecified dementia, moderate, with other behavioral disturbance
H44001	Unspecified purulent endophthalmitis, right eye
F1599	Other stimulant use, unspecified with unspecified stimulant-induced disorder
I97610	Postprocedural hemorrhage of a circulatory system organ or structure following a cardiac catheterization
S32059	Unspecified fracture of fifth lumbar vertebra
S81841	Puncture wound with foreign body, right lower leg
S4362	Sprain of left sternoclavicular joint
T3174	Burns involving 70-79% of body surface with 40-49% third degree burns
M7082	Other soft tissue disorders related to use, overuse and pressure of upper arm
M67441	Ganglion, right hand
Q690	Accessory finger(s)
H0542	Enophthalmos due to trauma or surgery
H3531	Nonexudative age-related macular degeneration
I82812	Embolism and thrombosis of superficial veins of left lower extremity
S52232	Displaced oblique fracture of shaft of left ulna
S8239	Other fracture of lower end of tibia
M25771	Osteophyte, right ankle
D167	Benign neoplasm of ribs, sternum and clavicle
G9089	Other disorders of autonomic nervous system
S92491	Other fracture of right great toe
H61013	Acute perichondritis of external ear, bilateral
M67851	Other specified disorders of synovium, right hip
M96679	Fracture of tibia or fibula following insertion of orthopedic implant, joint prosthesis, or bone plate, unspecified leg
F19950	Other psychoactive substance use, unspecified with psychoactive substance-induced psychotic disorder with delusions
H01124	Discoid lupus erythematosus of left upper eyelid
X712	Intentional self-harm by drowning and submersion after jump into swimming pool
H44632	Retained (old) magnetic foreign body in lens, left eye
M9919	Subluxation complex (vertebral) of abdomen and other regions
V9387	Other injury due to other accident on board water-skis
I472	Ventricular tachycardia
H31101	Choroidal degeneration, unspecified, right eye
C8112	Nodular sclerosis Hodgkin lymphoma, intrathoracic lymph nodes
T8161	Aseptic peritonitis due to foreign substance accidentally left during a procedure
S56404	Unspecified injury of extensor muscle, fascia and tendon of left middle finger at forearm level
H7291	Unspecified perforation of tympanic membrane, right ear
I27848	Other Fontan-associated condition
S38001	Crushing injury of unspecified external genital organs, male
H663X1	Other chronic suppurative otitis media, right ear
O714	Obstetric high vaginal laceration alone
T23579	Corrosion of first degree of unspecified wrist
F17209	Nicotine dependence, unspecified, with unspecified nicotine-induced disorders
S13	Dislocation and sprain of joints and ligaments at neck level
Z1379	Encounter for other screening for genetic and chromosomal anomalies
S83091	Other subluxation of right patella
F439	Reaction to severe stress, unspecified
H18593	Other hereditary corneal dystrophies, bilateral
T2005	Burn of unspecified degree of scalp [any part]
V431	Car passenger injured in collision with car, pick-up truck or van in nontraffic accident
O29012	Aspiration pneumonitis due to anesthesia during pregnancy, second trimester
G43009	Migraine without aura, not intractable, without status migrainosus
D3610	Benign neoplasm of peripheral nerves and autonomic nervous system, unspecified
N5237	Erectile dysfunction following prostate ablative therapy
M85659	Other cyst of bone, unspecified thigh
A428	Other forms of actinomycosis
M6384	Disorders of muscle in diseases classified elsewhere, hand
K0520	Aggressive periodontitis, unspecified
W5609	Other contact with dolphin
S648X	Injury of other nerves at wrist and hand level
J670	Farmer's lung
H213	Cyst of iris, ciliary body and anterior chamber
S93305	Unspecified dislocation of left foot
M87059	Idiopathic aseptic necrosis of unspecified femur
H5211	Myopia, right eye
H2521	Age-related cataract, morgagnian type, right eye
H546	Unqualified visual loss, one eye
S46091	Other injury of muscle(s) and tendon(s) of the rotator cuff of right shoulder
M66241	Spontaneous rupture of extensor tendons, right hand
S0472	Injury of accessory nerve, left side
S7302	Obturator subluxation and dislocation of hip
T81533	Perforation due to foreign body accidentally left in body following injection or immunization
Z2914	Encounter for prophylactic rabies immune globin
A5601	Chlamydial cystitis and urethritis
S5252	Torus fracture of lower end of radius
Q257	Other congenital malformations of pulmonary artery
Q6239	Other obstructive defects of renal pelvis and ureter
Y02	Assault by pushing or placing victim in front of moving object
H6622	Chronic atticoantral suppurative otitis media, left ear
X003	Fall from burning building or structure in uncontrolled fire
F0150	Vascular dementia, unspecified severity, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety
S8251	Displaced fracture of medial malleolus of right tibia
Q788	Other specified osteochondrodysplasias
M71862	Other specified bursopathies, left knee
S43015	Anterior dislocation of left humerus
H35363	Drusen (degenerative) of macula, bilateral
Z6841	Body mass index [BMI] 40.0-44.9, adult
S32463	Displaced associated transverse-posterior fracture of unspecified acetabulum
M8642	Chronic osteomyelitis with draining sinus, humerus
S60579	Other superficial bite of hand of unspecified hand
A5440	Gonococcal infection of musculoskeletal system, unspecified
S60458	Superficial foreign body of other finger
H65413	Chronic allergic otitis media, bilateral
M12852	Other specific arthropathies, not elsewhere classified, left hip
S65311	Laceration of deep palmar arch of right hand
T423X5	Adverse effect of barbiturates
F525	Vaginismus not due to a substance or known physiological condition
H11123	Conjunctival concretions, bilateral
S748X	Injury of other nerves at hip and thigh level
M66131	Rupture of synovium, right wrist
T454X2	Poisoning by iron and its compounds, intentional self-harm
H6530	Chronic mucoid otitis media, unspecified ear
K8034	Calculus of bile duct with chronic cholangitis without obstruction
L80	Vitiligo
L97228	Non-pressure chronic ulcer of left calf with other specified severity
O29091	Other pulmonary complications of anesthesia during pregnancy, first trimester
T8409	Other mechanical complication of internal joint prosthesis
S76902	Unspecified injury of unspecified muscles, fascia and tendons at thigh level, left thigh
Z62810	Personal history of physical and sexual abuse in childhood
T565X2	Toxic effect of zinc and its compounds, intentional self-harm
V766	Passenger on bus injured in collision with other nonmotor vehicle in traffic accident
F984	Stereotyped movement disorders
M71321	Other bursal cyst, right elbow
S85992	Other specified injury of unspecified blood vessel at lower leg level, left leg
D782	Postprocedural hemorrhage of the spleen following a procedure
V123	Person boarding or alighting a pedal cycle injured in collision with two- or three-wheeled motor vehicle
H4709	Other disorders of optic nerve, not elsewhere classified
M12359	Palindromic rheumatism, unspecified hip
S63234	Subluxation of proximal interphalangeal joint of right ring finger
M02122	Postdysenteric arthropathy, left elbow
L98A192	Non-pressure chronic ulcer of unspecified upper arm with fat layer exposed
C8217	Follicular lymphoma grade II, spleen
I758	Atheroembolism of other sites
I69128	Other speech and language deficits following nontraumatic intracerebral hemorrhage
M25531	Pain in right wrist
S86	Injury of muscle, fascia and tendon at lower leg level
R591	Generalized enlarged lymph nodes
S93101	Unspecified subluxation of right toe(s)
F14151	Cocaine abuse with cocaine-induced psychotic disorder with hallucinations
C698	Malignant neoplasm of overlapping sites of eye and adnexa
M86052	Acute hematogenous osteomyelitis, left femur
C800	Disseminated malignant neoplasm, unspecified
O9A22	Injury, poisoning and certain other consequences of external causes complicating childbirth
Y9269	Other specified industrial and construction area as the place of occurrence of the external cause
Z539	Procedure and treatment not carried out, unspecified reason
L9790	Non-pressure chronic ulcer of unspecified part of unspecified lower leg
N80109	Endometriosis of ovary, unspecified side, unspecified depth
X130	Inhalation of steam and other hot vapors
D413	Neoplasm of uncertain behavior of urethra
F02C11	Dementia in other diseases classified elsewhere, severe, with agitation
I705	Atherosclerosis of nonautologous biological bypass graft(s) of the extremities
M2540	Effusion, unspecified joint
M90571	Osteonecrosis in diseases classified elsewhere, right ankle and foot
T24121	Burn of first degree of right knee
O4393	Unspecified placental disorder, third trimester
O9A2	Injury, poisoning and certain other consequences of external causes complicating pregnancy, childbirth and the puerperium
O26873	Cervical shortening, third trimester
S062X8	Diffuse traumatic brain injury with loss of consciousness of any duration with death due to other cause prior to regaining consciousness
S53492	Other sprain of left elbow
Z1503	Genetic susceptibility to malignant neoplasm of prostate
C441022	Unspecified malignant neoplasm of skin of right lower eyelid, including canthus
Y92414	Local residential or business street as the place of occurrence of the external cause
N39492	Postural (urinary) incontinence
S56196	Other injury of flexor muscle, fascia and tendon of left ring finger at forearm level
S63232	Subluxation of proximal interphalangeal joint of right middle finger
M62479	Contracture of muscle, unspecified ankle and foot
S52036	Nondisplaced fracture of olecranon process with intraarticular extension of unspecified ulna
C20	Malignant neoplasm of rectum
F09	Unspecified mental disorder due to known physiological condition
F13259	Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced psychotic disorder, unspecified
Y9385	Activity, choking game
C44691	Other specified malignant neoplasm of skin of unspecified upper limb, including shoulder
E8311	Hemochromatosis
K811	Chronic cholecystitis
V755	Driver of bus injured in collision with railway train or railway vehicle in traffic accident
V9083	Drowning and submersion due to other accident to other powered watercraft
H2611	Localized traumatic opacities
S91311	Laceration without foreign body, right foot
S92051	Displaced other extraarticular fracture of right calcaneus
S98922	Partial traumatic amputation of left foot, level unspecified
D0339	Melanoma in situ of other parts of face
R869	Unspecified abnormal finding in specimens from male genital organs
Z854A	Personal history of malignant neoplasm of fallopian tube(s)
D48117	Desmoid tumor of back
S6057	Other superficial bite of hand
T23031	Burn of unspecified degree of multiple right fingers (nail), not including thumb
V9303	Burn due to localized fire on board other powered watercraft
M2446	Recurrent dislocation, knee
T6371	Toxic effect of contact with venomous marine plant
Y37460	Military operations involving intentional restriction of air and airway, military personnel
T63693	Toxic effect of contact with other venomous marine animals, assault
G40C1	Lafora progressive myoclonus epilepsy, intractable
K717	Toxic liver disease with fibrosis and cirrhosis of liver
S6331	Traumatic rupture of collateral ligament of wrist
X83	Intentional self-harm by other specified means
S06370	Contusion, laceration, and hemorrhage of cerebellum without loss of consciousness
C92Z0	Other myeloid leukemia not having achieved remission
D610	Constitutional aplastic anemia
H3091	Unspecified chorioretinal inflammation, right eye
L703	Acne tropica
QA0015	Neurodevelopmental disorders, related to genes associated with transcription and gene expression
H18333	Rupture in Descemet's membrane, bilateral
S3120	Unspecified open wound of penis
T535	Toxic effects of chlorofluorocarbons
Z463	Encounter for fitting and adjustment of dental prosthetic device
D2221	Melanocytic nevi of right ear and external auricular canal
I70344	Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of heel and midfoot
N06	Isolated proteinuria with specified morphological lesion
Z990	Dependence on aspirator
H1510	Unspecified episcleritis
Q200	Common arterial trunk
T24329	Burn of third degree of unspecified knee
D399	Neoplasm of uncertain behavior of female genital organ, unspecified
T63464	Toxic effect of venom of wasps, undetermined
W6151	Bitten by goose
H18233	Secondary corneal edema, bilateral
M8902	Algoneurodystrophy, upper arm
S348	Injury of other nerves at abdomen, lower back and pelvis level
T8632	Heart-lung transplant failure
O086	Damage to pelvic organs and tissues following an ectopic and molar pregnancy
Z9081	Acquired absence of spleen
M0628	Rheumatoid bursitis, vertebrae
I6333	Cerebral infarction due to thrombosis of posterior cerebral artery
M71319	Other bursal cyst, unspecified shoulder
S638X2	Sprain of other part of left wrist and hand
I69164	Other paralytic syndrome following nontraumatic intracerebral hemorrhage affecting left non-dominant side
M1651	Unilateral post-traumatic osteoarthritis, right hip
M9976	Connective tissue and disc stenosis of intervertebral foramina of lower extremity
H53	Visual disturbances
V111	Pedal cycle passenger injured in collision with other pedal cycle in nontraffic accident
W943	Exposure to rapid changes in air pressure during descent
I02	Rheumatic chorea
M25842	Other specified joint disorders, left hand
S2512	Major laceration of innominate or subclavian artery
F11981	Opioid use, unspecified with opioid-induced sexual dysfunction
S39001	Unspecified injury of muscle, fascia and tendon of abdomen
I6992	Speech and language deficits following unspecified cerebrovascular disease
V28	Motorcycle rider injured in noncollision transport accident
H05352	Exostosis of left orbit
S625	Fracture of thumb
B731	Onchocerciasis without eye disease
G890	Central pain syndrome
I2511	Atherosclerotic heart disease of native coronary artery with angina pectoris
H5021	Vertical strabismus, right eye
S01319	Laceration without foreign body of unspecified ear
S62145	Nondisplaced fracture of body of hamate [unciform] bone, left wrist
M62431	Contracture of muscle, right forearm
S52035	Nondisplaced fracture of olecranon process with intraarticular extension of left ulna
E615	Molybdenum deficiency
M1213	Kaschin-Beck disease, wrist
T505X6	Underdosing of appetite depressants
A289	Zoonotic bacterial disease, unspecified
F3164	Bipolar disorder, current episode mixed, severe, with psychotic features
D3111	Benign neoplasm of right cornea
M05731	Rheumatoid arthritis with rheumatoid factor of right wrist without organ or systems involvement
H44791	Retained (old) intraocular foreign body, nonmagnetic, in other or multiple sites, right eye
S12591	Other nondisplaced fracture of sixth cervical vertebra
H61111	Acquired deformity of pinna, right ear
S45111	Laceration of brachial artery, right side
U099	Post COVID-19 condition, unspecified
C8118	Nodular sclerosis Hodgkin lymphoma, lymph nodes of multiple sites
C95	Leukemia of unspecified cell type
M3393	Dermatopolymyositis, unspecified without myopathy
M609	Myositis, unspecified
S9230	Fracture of unspecified metatarsal bone(s)
C8190	Hodgkin lymphoma, unspecified, unspecified site
T2429	Burn of second degree of multiple sites of lower limb, except ankle and foot
C50822	Malignant neoplasm of overlapping sites of left male breast
T22329	Burn of third degree of unspecified elbow
Z683	Body mass index [BMI] 30-39, adult
H43313	Vitreous membranes and strands, bilateral
Y846	Urinary catheterization as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure
N9962	Intraoperative hemorrhage and hematoma of a genitourinary system organ or structure complicating other procedure
H18322	Folds in Descemet's membrane, left eye
M86569	Other chronic hematogenous osteomyelitis, unspecified tibia and fibula
M88862	Osteitis deformans of left lower leg
Z15068	Genetic susceptibility to other malignant neoplasm of digestive system
C771	Secondary and unspecified malignant neoplasm of intrathoracic lymph nodes
H00024	Hordeolum internum left upper eyelid
S40841	External constriction of right upper arm
Y9225	Cultural building as the place of occurrence of the external cause
S25491	Other specified injury of right pulmonary blood vessels
Y93E5	Activity, floor mopping and cleaning
M1A411	Other secondary chronic gout, right shoulder
S60572	Other superficial bite of hand of left hand
T3342	Superficial frostbite of left arm
G5732	Lesion of lateral popliteal nerve, left lower limb
M2517	Fistula, ankle and foot
M86632	Other chronic osteomyelitis, left radius and ulna
T476X4	Poisoning by antidiarrheal drugs, undetermined
S02129	Fracture of orbital roof, unspecified side
P108	Other intracranial lacerations and hemorrhages due to birth injury
H31422	Serous choroidal detachment, left eye
T63392	Toxic effect of venom of other spider, intentional self-harm
N03A	Chronic nephritic syndrome with C3 glomerulonephritis
M61129	Myositis ossificans progressiva, unspecified upper arm
M92209	Unspecified juvenile osteochondrosis, unspecified hand
V04938	Pedestrian on other standing micro-mobility pedestrian conveyance injured in collision with heavy transport vehicle or bus, unspecified whether traffic or nontraffic accident
M71142	Other infective bursitis, left hand
N951	Menopausal and female climacteric states
G4401	Episodic cluster headache
E7601	Hurler's syndrome
H8002	Otosclerosis involving oval window, nonobliterative, left ear
I69364	Other paralytic syndrome following cerebral infarction affecting left non-dominant side
M05172	Rheumatoid lung disease with rheumatoid arthritis of left ankle and foot
S53144	Lateral dislocation of right ulnohumeral joint
S59801	Other specified injuries of right elbow
S85129	Other specified injury of unspecified tibial artery, unspecified leg
M216	Other acquired deformities of foot
S36030	Superficial (capsular) laceration of spleen
O2223	Superficial thrombophlebitis in pregnancy, third trimester
B6769	Echinococcus multilocularis infection, other sites
Z6853	Body mass index [BMI] pediatric, 85th percentile to less than 95th percentile for age
A513	Secondary syphilis of skin and mucous membranes
T498X1	Poisoning by other topical agents, accidental (unintentional)
C3432	Malignant neoplasm of lower lobe, left bronchus or lung
G5701	Lesion of sciatic nerve, right lower limb
S25501	Unspecified injury of intercostal blood vessels, right side
A06	Amebiasis
Z3A12	12 weeks gestation of pregnancy
M12579	Traumatic arthropathy, unspecified ankle and foot
T827	Infection and inflammatory reaction due to other cardiac and vascular devices, implants and grafts
M89449	Other hypertrophic osteoarthropathy, unspecified hand
K8520	Alcohol induced acute pancreatitis without necrosis or infection
H30011	Focal chorioretinal inflammation, juxtapapillary, right eye
M10341	Gout due to renal impairment, right hand
H907	Mixed conductive and sensorineural hearing loss, unilateral with unrestricted hearing on the contralateral side
A1809	Other musculoskeletal tuberculosis
J41	Simple and mucopurulent chronic bronchitis
R69	Illness, unspecified
S63207	Unspecified subluxation of left little finger
Z021	Encounter for pre-employment examination
M465	Other infective spondylopathies
R7981	Abnormal blood-gas level
M85342	Osteitis condensans, left hand
R13	Aphagia and dysphagia
T82529	Displacement of unspecified cardiac and vascular devices and implants
S52361	Displaced segmental fracture of shaft of radius, right arm
S81	Open wound of knee and lower leg
V9605	Balloon explosion injuring occupant
S6842	Partial traumatic amputation of hand at wrist level
R5601	Complex febrile convulsions
H0454	Stenosis of lacrimal canaliculi
W940	Exposure to prolonged high air pressure
L41	Parapsoriasis
S35292	Major laceration of branches of celiac and mesenteric artery
R5600	Simple febrile convulsions
T24421	Corrosion of unspecified degree of right knee
O7189	Other specified obstetric trauma
P7882	Peptic ulcer of newborn
Z6824	Body mass index [BMI] 24.0-24.9, adult
S61052	Open bite of left thumb without damage to nail
M84629	Pathological fracture in other disease, unspecified humerus
S86209	Unspecified injury of muscle(s) and tendon(s) of anterior muscle group at lower leg level, unspecified leg
L8950	Pressure ulcer of unspecified ankle
S61245	Puncture wound with foreign body of left ring finger without damage to nail
T596X4	Toxic effect of hydrogen sulfide, undetermined
T871X2	Complications of reattached (part of) left lower extremity
L98A316	Non-pressure chronic ulcer of right hand with bone involvement without evidence of necrosis
I677	Cerebral arteritis, not elsewhere classified
H52	Disorders of refraction and accommodation
M24529	Contracture, unspecified elbow
L03891	Acute lymphangitis of head [any part, except face]
H5067	Superior rectus muscle entrapment
M435X5	Other recurrent vertebral dislocation, thoracolumbar region
Z433	Encounter for attention to colostomy
S0532	Ocular laceration without prolapse or loss of intraocular tissue, left eye
S92214	Nondisplaced fracture of cuboid bone of right foot
T2279	Corrosion of third degree of multiple sites of shoulder and upper limb, except wrist and hand
H16321	Diffuse interstitial keratitis, right eye
K9420	Gastrostomy complication, unspecified
S42151	Displaced fracture of neck of scapula, right shoulder
L91	Hypertrophic disorders of skin
S35515	Injury of left iliac vein
M23341	Other meniscus derangements, anterior horn of lateral meniscus, right knee
H40111	Primary open-angle glaucoma, right eye
V9733	Sucked into jet engine
M88821	Osteitis deformans of right upper arm
L8946	Pressure-induced deep tissue damage of contiguous site of back, buttock and hip
T872	Complications of other reattached body part
Z01810	Encounter for preprocedural cardiovascular examination
T7808	Anaphylactic reaction due to eggs
Y3599	Legal intervention, means unspecified, unspecified person injured
C9629	Other malignant mast cell neoplasm
I68	Cerebrovascular disorders in diseases classified elsewhere
F1999	Other psychoactive substance use, unspecified with unspecified psychoactive substance-induced disorder
E0590	Thyrotoxicosis, unspecified without thyrotoxic crisis or storm
M170	Bilateral primary osteoarthritis of knee
S63219	Subluxation of metacarpophalangeal joint of unspecified finger
S648X2	Injury of other nerves at wrist and hand level of left arm
M61249	Paralytic calcification and ossification of muscle, unspecified hand
N99532	Malfunction of continent stoma of urinary tract
H800	Otosclerosis involving oval window, nonobliterative
S65992	Other specified injury of unspecified blood vessel at wrist and hand of left arm
T22512	Corrosion of first degree of left forearm
D5744	Sickle-cell thalassemia beta plus without crisis
H02204	Unspecified lagophthalmos left upper eyelid
G40001	Localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset, not intractable, with status epilepticus
H0443	Chronic lacrimal mucocele
E7281	Disorders of gamma aminobutyric acid metabolism
L430	Hypertrophic lichen planus
S68627	Partial traumatic transphalangeal amputation of left little finger
V735	Driver of bus injured in collision with car, pick-up truck or van in traffic accident
C8172	Other Hodgkin lymphoma, intrathoracic lymph nodes
M60162	Interstitial myositis, left lower leg
I158	Other secondary hypertension
S6659	Other injury of intrinsic muscle, fascia and tendon of other and unspecified finger at wrist and hand level
S76291	Other injury of adductor muscle, fascia and tendon of right thigh
S092	Traumatic rupture of ear drum
S62173	Displaced fracture of trapezium [larger multangular], unspecified wrist
H8319	Labyrinthine fistula, unspecified ear
I87309	Chronic venous hypertension (idiopathic) without complications of unspecified lower extremity
S06	Intracranial injury
Y35201	Legal intervention involving unspecified gas, law enforcement official injured
Y9271	Barn as the place of occurrence of the external cause
N80203	Endometriosis of bilateral fallopian tubes, unspecified depth
P250	Interstitial emphysema originating in the perinatal period
T23152	Burn of first degree of left palm
C8108	Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of multiple sites
E71511	Neonatal adrenoleukodystrophy
G976	Postprocedural hematoma and seroma of a nervous system organ or structure following a procedure
M4822	Kissing spine, cervical region
E134	Other specified diabetes mellitus with neurological complications
R3915	Urgency of urination
S89312	Salter-Harris Type I physeal fracture of lower end of left fibula
C820	Follicular lymphoma grade I
S1093	Contusion of unspecified part of neck
S82262	Displaced segmental fracture of shaft of left tibia
M19271	Secondary osteoarthritis, right ankle and foot
M85869	Other specified disorders of bone density and structure, unspecified lower leg
N13721	Vesicoureteral-reflux with reflux nephropathy without hydroureter, unilateral
N632	Unspecified lump in the left breast
H5452	Low vision, left eye, normal vision right eye
P809	Hypothermia of newborn, unspecified
H27133	Posterior dislocation of lens, bilateral
M2202	Recurrent dislocation of patella, left knee
M24874	Other specific joint derangements of right foot, not elsewhere classified
S20121	Blister (nonthermal) of breast, right breast
S4690	Unspecified injury of unspecified muscle, fascia and tendon at shoulder and upper arm level
S72434	Nondisplaced fracture of medial condyle of right femur
T540X3	Toxic effect of phenol and phenol homologues, assault
V80918	Animal-rider injured in other transport accident
H02123	Mechanical ectropion of right eye, unspecified eyelid
C44199	Other specified malignant neoplasm of skin of left eyelid, including canthus
O24919	Unspecified diabetes mellitus in pregnancy, unspecified trimester
S838X1	Sprain of other specified parts of right knee
Y92001	Dining room of unspecified non-institutional (private) residence as the place of occurrence of the external cause
S6360	Unspecified sprain of thumb
S98319	Complete traumatic amputation of unspecified midfoot
M8580	Other specified disorders of bone density and structure, unspecified site
S93335	Other dislocation of left foot
T618X3	Toxic effect of other seafood, assault
L76	Intraoperative and postprocedural complications of skin and subcutaneous tissue
C8258	Diffuse follicle center lymphoma, lymph nodes of multiple sites
N800	Endometriosis of uterus
Y36391	War operations involving other fires, conflagrations and hot substances, civilian
S62356	Nondisplaced fracture of shaft of fifth metacarpal bone, right hand
S62391	Other fracture of second metacarpal bone, left hand
Z56	Problems related to employment and unemployment
K682	Retroperitoneal fibrosis
M13871	Other specified arthritis, right ankle and foot
M356	Relapsing panniculitis [Weber-Christian]
T426X6	Underdosing of other antiepileptic and sedative-hypnotic drugs
H950	Recurrent cholesteatoma of postmastoidectomy cavity
S66126	Laceration of flexor muscle, fascia and tendon of right little finger at wrist and hand level
S82046	Nondisplaced comminuted fracture of unspecified patella
H68109	Unspecified obstruction of Eustachian tube, unspecified ear
